index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,x,y
5589,31.909247774617505,36.67132537725547,15.0,16.53547321312026,202.8864400300672,106.91184468722813,145.1751177776743,18.56099398434505,16.192487453811978,42.76849642749973,39.690805951172656,3.3625057859504217,4.680540715366243
5590,30.225419254427074,43.01293490374061,15.808061322492184,21.545644419067106,251.49862314670293,82.89880244034234,174.8270468878045,19.67943003463704,18.77014686561377,44.401434651502896,37.594157341043726,3.357162910492677,4.429099972113987
5591,23.97405798865579,43.57214298708761,17.991481634793306,24.99091940514721,259.9385149984385,66.41491920082032,200.69514109853017,27.8072580196468,18.021156827005093,47.44550707809658,31.49402978062627,3.3543795467925364,4.17893618143027
5592,20.33287314246881,42.598264727396405,20.283024437459265,30.916880806365608,286.9342404616023,55.154841810612325,215.5148858798407,29.425093550602952,20.538905703096393,50.29101643147531,29.113145904626307,3.347041356149312,3.9465077011092577
5593,27.855483350871697,57.16897582621721,22.2286248277762,32.36960937801474,297.57612491937755,52.51157336144066,163.06039582309177,27.005708443453607,20.643369242222708,38.33989900581177,24.851230444313625,3.2131043971316915,4.1142783804865966
5594,33.024171592808926,53.08258786714658,17.369815342997146,27.31549648963345,286.8928421742111,62.302504113411466,147.1463332729679,19.97633000068123,16.598591056481027,35.640265201292756,27.64631627942547,3.2182496941234486,4.363869876953828
5595,36.53070666907266,48.33829523760835,17.517987660938473,22.419423997775933,244.8922380986137,81.25707833183347,126.6511733866038,16.401468197707324,15.117526357896397,34.617035516657545,29.057283177381343,3.2224353753117025,4.612216772914752
5596,40.614986350577155,43.60162358704768,15.0,19.18739239922045,196.8478738767596,98.27346738115898,108.97947372978204,18.63577619057192,15.0,34.064287298661235,29.64099844039121,3.2268319896385105,4.8608715045447655
5597,43.40601564301012,41.60842715018136,15.0,15.0,162.42098479305378,118.48485291626778,87.84625098692446,15.0,15.0,29.805754582722702,37.85247678447328,3.2299359730922275,5.113491486578196
5598,48.9627707854532,35.247431676678985,15.0,15.0,111.2238994867648,137.15531731751193,67.42733155377721,15.0,15.0,27.306025891783207,35.852201882419955,3.230912783229477,5.3629761579753445
5599,52.93573828579701,31.5928778415564,15.0,15.0,85.75832145039378,147.50143816868064,55.33237877820585,15.0,15.0,25.073090702708377,38.63579646349003,3.2319389818010205,5.599010880379742
5600,52.126713052938115,32.55603241594245,15.0,15.0,100.02996737932644,134.76026751045725,62.13357625602286,15.0,15.0,28.07263986144539,39.04063007418274,3.139436050536556,5.404856203366151
5601,47.84154833206421,38.821193776118285,15.0,15.0,140.7940457034909,114.90356258824124,76.26455885494627,15.836927424092131,15.0,29.0733978729844,37.9667065854868,3.1368119536859527,5.159341959663989
5602,44.9549686906089,43.20025667666791,15.0,17.639838413750034,192.1828057988634,96.47633484612103,95.63164203796116,15.0,15.0,31.25923325792992,34.42506434982782,3.127360493585877,4.905236908178546
5603,38.05606567221324,48.51741734380825,15.68129769835182,22.80131869412881,248.7279477161493,82.99833678534009,117.07300722828396,18.280199720851453,15.0,33.40313874278548,31.05582717262792,3.1226165885980635,4.652983069174049
5604,35.19742017460765,52.55000711414216,20.93987772344157,24.04372481825251,310.34364660504366,65.61139015166201,132.50689985997994,23.78597814519351,16.679268789543602,37.192722441823726,29.727278207977857,3.116311964563716,4.4034518732563255
5605,32.075693999616604,56.82518156264394,19.58485541843993,27.239467474227272,327.55372168071204,60.05714248015802,142.38933944258682,23.979610808892463,15.685236629755128,36.516680702247,27.759110691685052,3.1632394204331526,4.887098467650233
5606,31.78789514130707,57.052616514975384,19.798556774186736,28.97903590302948,335.00057850691417,60.20104553817833,144.3006415527256,15.0,16.512220811635206,36.12570998280039,25.5595340911392,3.5902959419886487,4.208074883716264
5607,17.588760928240006,21.927003955708237,15.0,15.0,15.0,105.56125695843356,186.93875469953548,15.0,19.042517811337444,64.84432152237898,59.87802043610194,3.696420592483816,4.263395278498344
5608,21.34836676482179,26.724212892830877,15.0,16.160504997492925,212.55534055435817,104.22124961859066,185.6729349819656,19.922773658991527,21.321197346598954,63.35148288391946,54.5659861536821,6.633439858545858,3.765238318893634
5609,98.2385750729622,435.89733838255165,75.0813054324135,38.9776315074816,123.1889178898506,15.0,19.856367588231784,15.072130666804096,15.0,15.0,15.0,6.569028721575206,4.028237015538423
5610,28.293219400217623,15.0,15.0,15.0,15.0,255.89928962507545,26.654791013341185,15.0,15.0,21.815155447596045,66.1507879345789,3.7432970856037873,6.643062071912397
5611,25.12108265323115,15.0,15.0,15.0,15.0,238.4404593863171,22.16467742813888,15.0,15.0,17.495606987330053,64.45873828853586,3.786279251581045,6.848986410377273
5612,27.14420620509023,15.0,15.0,15.0,17.208258963239974,193.7205361957399,17.388550558476652,15.0,15.0,18.60082542922129,60.37588717910059,3.6660465726409286,7.0223592222877285
5613,32.71117643067525,15.0,15.0,15.0,17.076593701070358,158.4411965108215,15.233375811665606,15.0,15.0,17.441264979119747,49.66613078537384,3.446433693009854,7.032198434451214
5614,44.890262122409275,15.0,15.0,15.0,17.936927847561684,126.3553211548112,15.0,15.0,15.0,15.0,39.084357690552075,3.2256100992089816,7.028513986183404
5615,53.82968786314722,17.240694712150265,15.0,15.0,18.072132230132933,98.31807624153112,15.0,15.0,15.0,15.0,33.87796093941604,3.004901246970234,7.05091408823106
5616,65.80213604534161,16.204557454283293,15.0,15.0,19.05557089052121,78.89378962913855,15.0,15.0,15.0,15.0,27.350152424677624,2.785295978479696,7.046729980226346
5617,83.07727155261543,17.22269502737062,15.0,15.0,20.64923525139681,64.58585280892608,15.0,15.0,15.0,15.0,21.858279505862807,2.566198159935253,7.044041158386317
5618,107.19902006731655,19.295849850419977,15.0,15.0,20.183496144151828,47.23029880721669,15.0,15.0,15.0,15.0,19.41118069331014,2.345397941111588,7.048309432018981
5619,132.364486496874,20.35622387957495,15.0,15.0,20.543429363175623,38.88170507175367,15.0,15.0,15.0,15.0,15.359115849635286,2.1252650897366743,7.0462667300943576
5620,188.6003147675225,22.172775694693453,15.0,15.0,19.21439229211066,24.54416376277552,15.0,15.0,15.0,15.0,15.0,1.7735515647925095,7.050576804427234
5621,227.84544134041408,21.56518226924581,15.0,15.0,15.781762884654691,22.54458023301753,15.0,15.0,15.0,15.0,15.0,1.5547349470401874,7.0558882158504925
5622,265.40192774781025,25.071809404917715,15.0,15.0,15.602448065861536,17.094644474224747,15.0,15.0,15.0,15.0,15.0,1.3360041952820711,7.060517398472793
