vive_data|last_cmd
[ 7.79261481e-01  8.85287970e-01  1.07996457e-01  1.78497585e+02  1.26571773e+02 -8.95609002e+01]|MOVE:900.186645080008
[ 6.77461251e-01  8.76735516e-01  1.06246340e-01  1.78228803e+02  1.26647023e+02 -8.93985095e+01]|MOVE:900.186645080008
[ 6.77696767e-01  8.74993982e-01  1.06980779e-01  1.78307733e+02  1.32881532e+02 -8.94585389e+01]|TURN:77
[ 5.77495592e-01  8.76172510e-01  1.06812882e-01  1.78507659e+02  1.33976403e+02 -8.96298428e+01]|MOVE:900.186645080008
[ 4.76187716e-01  8.77897863e-01  1.07128047e-01  1.78377633e+02  1.33940073e+02 -8.95658962e+01]|MOVE:900.186645080008
[ 4.65822797e-01  8.82729138e-01  1.07100863e-01  4.32255161e-02 -3.28996806e+01  9.11502721e+01]|TURN:2247
[ 5.64576189e-01  8.55117151e-01  1.07514216e-01 -8.30180723e-02 -3.21230354e+01  9.11254096e+01]|MOVE:900.186645080008
[  0.56424802   0.85294575   0.10765677   0.37806683 -51.56370102  91.57706007]|TURN:-229
[  0.66590349   0.8589935    0.1095488    0.72659896 -52.4326459  91.68786781]|MOVE:900.186645080008
[  0.76622819   0.86807775   0.10985841   0.56420703 -52.48021085  92.03688642]|MOVE:900.186645080008
[  0.86738505   0.87653575   0.11057888   0.70853683 -52.82805193  92.16933349]|MOVE:900.186645080008
[  0.96950565   0.88332847   0.11296038   0.21774913 -52.54611221  91.91451793]|MOVE:900.186645080008
[ 9.83632267e-01  8.75007562e-01  1.16251953e-01  1.77879004e+02  1.34087685e+02 -8.96406832e+01]|TURN:-2024
[ 8.78046353e-01  8.84922585e-01  1.09983359e-01  1.78123586e+02  1.33088810e+02 -8.94157708e+01]|MOVE:900.186645080008
[ 8.74044024e-01  8.87961731e-01  1.06761920e-01  1.78588787e+02  1.53397724e+02 -8.99383985e+01]|TURN:236
[ 7.79415338e-01  9.24865959e-01  1.08101376e-01  1.78382426e+02  1.54253970e+02 -8.98437254e+01]|MOVE:900.186645080008
[ 6.85185444e-01  9.60531217e-01  1.09912969e-01  1.78231282e+02  1.54367277e+02 -8.97909600e+01]|MOVE:900.186645080008
[ 5.89753815e-01  9.97993051e-01  1.10400074e-01  1.78116233e+02  1.54246792e+02 -8.96159929e+01]|MOVE:900.186645080008
[ 0.58910728  1.00555931  0.11037846  1.13243006 80.20742836 87.78431218]|TURN:-859
[ 0.53069123  0.9238647   0.10868283  0.34718588 79.96221458 88.68648557]|MOVE:900.186645080008
[ 0.53082679  0.9224496   0.10889882  1.1407744  85.66732575 87.87699429]|TURN:75
[ 0.4633082   0.84959465  0.10723937  1.33042866 86.85676314 87.63643081]|MOVE:900.186645080008
[ 0.39344209  0.77849642  0.10443902  3.15147578 87.00700132 85.90852372]|MOVE:900.186645080008
[ 0.32553725  0.70610264  0.10375605  9.02828997 87.43062138 79.77406924]|MOVE:900.186645080008
[ 0.31990835  0.7088813   0.10329244 -0.72430639 25.67947125 90.50185098]|TURN:-710
[ 0.35023501  0.61328545  0.10100052 -0.78931114 24.91183578 90.42741627]|MOVE:900.186645080008
[ 0.38367814  0.51452268  0.09975677 -0.79665826 24.82544948 90.71557207]|MOVE:900.186645080008
[ 0.38572005  0.51320341  0.1003641  -0.78674589 34.24689387 90.57905416]|TURN:114
[ 0.40164887  0.41111128  0.09991842 -1.17019538 35.12166402 90.35883698]|MOVE:900.186645080008
[ 0.41949046  0.30731855  0.10017627 -1.03437461 35.54772628 90.20985743]|MOVE:900.186645080008
[  0.41482612   0.30409212   0.10041552   0.13342257 -36.35920637  91.36878268]|TURN:-837
[ 5.17940449e-01  2.81356651e-01  1.02991967e-01 -3.27834075e-03 -3.66817789e+01  9.10003593e+01]|MOVE:900.186645080008
[  0.61763712   0.26063763   0.10376377  -0.17226084 -36.41916399  90.58785585]|MOVE:900.186645080008
[ 7.16180000e-01  2.40738800e-01  1.02884435e-01 -4.92155968e-02 -3.64161099e+01  9.06754726e+01]|MOVE:900.186645080008
[  0.71627949   0.24152522   0.1021766   -0.30758685 -30.87937981  90.54390068]|TURN:73
[  0.81423439   0.20942431   0.10160814  -0.10569721 -29.73979931  91.19750389]|MOVE:900.186645080008
[ 8.14843577e-01  2.03000893e-01  1.00758069e-01  1.68856923e+02 -9.94458016e+01 -9.92585176e+01]|TURN:-809
[ 8.74755920e-01  2.81469709e-01  1.02982837e-01  1.71726942e+02 -9.99940291e+01 -9.61188506e+01]|MOVE:900.186645080008
[ 9.34955597e-01  3.60593693e-01  1.05053847e-01  1.70513566e+02 -9.96571628e+01 -9.75166895e+01]|MOVE:900.186645080008
[ 9.34714993e-01  3.62364917e-01  1.05064282e-01  4.29607322e+01 -8.85360553e+01  1.34878535e+02]|TURN:136
[ 1.00969754e+00  4.27314847e-01  1.06241938e-01  2.75433757e+01 -8.75880916e+01  1.19346765e+02]|MOVE:900.186645080008
[ 1.08501670e+00  4.92740998e-01  1.06416229e-01  2.95334048e+01 -8.74446550e+01  1.21333799e+02]|MOVE:900.186645080008
[ 1.09234624e+00  4.88480735e-01  1.07915496e-01  1.77265050e+02 -1.56876190e+02 -9.04758685e+01]|TURN:-802
[ 1.05568879e+00  5.82740336e-01  1.11203738e-01  1.77627511e+02 -1.57164231e+02 -9.01776679e+01]|MOVE:900.186645080008
[ 1.01861655e+00  6.79039764e-01  1.12995118e-01  1.77479340e+02 -1.57244502e+02 -9.03984745e+01]|MOVE:900.186645080008
